STATE,COUNTY,ALX5E001
California,Riverside County,28596
California,Sacramento County,32751
California,San Benito County,33174
California,San Bernardino County,25215
California,San Diego County,38073
California,San Francisco County,68883
California,San Joaquin County,27521
California,San Luis Obispo County,37233
California,San Mateo County,61545
California,Santa Barbara County,36039
California,Santa Clara County,56248
California,Santa Cruz County,41312
California,Shasta County,29720
California,Sierra County,33747
California,Siskiyou County,28615
California,Solano County,35400
California,Sonoma County,42178
California,Stanislaus County,26258
California,Sutter County,27371
California,Tehama County,24301
California,Trinity County,26523
California,Tulare County,21380
California,Tuolumne County,34702
California,Ventura County,38595
California,Yolo County,34515
California,Yuba County,25583
Colorado,Adams County,30313
Colorado,Alamosa County,22131
Colorado,Arapahoe County,40443
Colorado,Archuleta County,31629
Colorado,Baca County,24061
Colorado,Bent County,13930
Colorado,Boulder County,46826
Colorado,Broomfield County,50863
Colorado,Chaffee County,29827
Colorado,Cheyenne County,29081
Colorado,Clear Creek County,39203
Colorado,Conejos County,20640
Colorado,Costilla County,21732
Colorado,Crowley County,15517
Colorado,Custer County,29258
Colorado,Delta County,26499
Colorado,Denver County,43770
Colorado,Dolores County,26323
Colorado,Douglas County,53313
Colorado,Eagle County,44391
Colorado,Elbert County,44690
Colorado,El Paso County,33728
Colorado,Fremont County,22692
Colorado,Garfield County,33393
Colorado,Gilpin County,49641
Colorado,Grand County,37876
Colorado,Gunnison County,32191
Colorado,Hinsdale County,33570
Colorado,Huerfano County,25140
Colorado,Jackson County,28199
Colorado,Jefferson County,44119
Colorado,Kiowa County,25937
Colorado,Kit Carson County,27797
Colorado,Lake County,29122
Colorado,La Plata County,39493
Colorado,Larimer County,37363
Colorado,Las Animas County,25813
Colorado,Lincoln County,16753
Colorado,Logan County,26727
Colorado,Mesa County,29596
Colorado,Mineral County,33955
Colorado,Moffat County,29100
Colorado,Montezuma County,26072
Colorado,Montrose County,28078
Colorado,Morgan County,25064
Colorado,Otero County,21110
Colorado,Ouray County,41160
Colorado,Park County,36500
Colorado,Phillips County,26494
Colorado,Pitkin County,54875
Colorado,Prowers County,23698
Colorado,Pueblo County,25051
Colorado,Rio Blanco County,26487
Colorado,Rio Grande County,24582
Colorado,Routt County,43769
Colorado,Saguache County,22511
Colorado,San Juan County,34502
Colorado,San Miguel County,47526
Colorado,Sedgwick County,27527
Colorado,Summit County,41281
Colorado,Teller County,35703
Colorado,Washington County,27860
Colorado,Weld County,31793
Colorado,Yuma County,27955
Connecticut,Fairfield County,57263
Connecticut,Hartford County,40540
Connecticut,Litchfield County,44480
Connecticut,Middlesex County,46023
Connecticut,New Haven County,38009
Connecticut,New London County,39426
Connecticut,Tolland County,41371
Connecticut,Windham County,32732
Delaware,Kent County,28845
Delaware,New Castle County,37532
Delaware,Sussex County,35491
District of Columbia,District of Columbia,56147
Florida,Alachua County,28646
Florida,Baker County,24686
Florida,Bay County,29290
Florida,Bradford County,20529
Florida,Brevard County,32176
Florida,Broward County,32909
Florida,Calhoun County,19304
Florida,Charlotte County,32144
Florida,Citrus County,26989
Florida,Clay County,30483
Florida,Collier County,45567
Florida,Columbia County,24275
Florida,DeSoto County,18503
Florida,Dixie County,21144
Florida,Duval County,31327
Florida,Escambia County,28022
Florida,Flagler County,29383
Florida,Franklin County,26574
Florida,Gadsden County,20734
Florida,Gilchrist County,21578
Florida,Glades County,21953
Florida,Gulf County,23252
Florida,Hamilton County,16136
Florida,Hardee County,17754
Florida,Hendry County,19167
Florida,Hernando County,25860
Florida,Highlands County,25752
Florida,Hillsborough County,32343
Florida,Holmes County,19201
Florida,Indian River County,36516
Florida,Jackson County,20019
Florida,Jefferson County,24510
Florida,Lafayette County,20776
Florida,Lake County,28348
Florida,Lee County,33543
Florida,Leon County,30586
Florida,Levy County,21579
Florida,Liberty County,17872
Florida,Madison County,19510
Florida,Manatee County,33853
Florida,Marion County,25839
Florida,Martin County,42199
Florida,Miami-Dade County,28224
Florida,Monroe County,46028
Florida,Nassau County,36553
Florida,Okaloosa County,33019
Florida,Okeechobee County,21367
Florida,Orange County,30456
Florida,Osceola County,22196
Florida,Palm Beach County,39933
Florida,Pasco County,29001
Florida,Pinellas County,35196
Florida,Polk County,24864
Florida,Putnam County,20915
Florida,St. Johns County,43194
Florida,St. Lucie County,27121
Florida,Santa Rosa County,31691
Florida,Sarasota County,41081
Florida,Seminole County,35175
Florida,Sumter County,35560
Florida,Suwannee County,22808
Florida,Taylor County,17391
Florida,Union County,17010
Florida,Volusia County,28517
Florida,Wakulla County,25733
Florida,Walton County,34475
Florida,Washington County,18401
Georgia,Appling County,21300
Georgia,Atkinson County,20338
Georgia,Bacon County,20326
Georgia,Baker County,22525
Georgia,Baldwin County,21716
Georgia,Banks County,21403
Georgia,Barrow County,25266
Georgia,Bartow County,26493
Georgia,Ben Hill County,17774
Georgia,Berrien County,19547
Georgia,Bibb County,25640
Georgia,Bleckley County,20458
Georgia,Brantley County,20191
Georgia,Brooks County,25700
Georgia,Bryan County,31623
Georgia,Bulloch County,22328
Georgia,Burke County,22173
Georgia,Butts County,27195
Georgia,Calhoun County,14005
Georgia,Camden County,29741
Georgia,Candler County,20687
Georgia,Carroll County,24993
Georgia,Catoosa County,27308
Georgia,Charlton County,18323
Georgia,Chatham County,32229
Georgia,Chattahoochee County,23769
Georgia,Chattooga County,18715
Georgia,Cherokee County,36503
Georgia,Clarke County,23827
Georgia,Clay County,17036
Georgia,Clayton County,20970
Georgia,Clinch County,15152
Georgia,Cobb County,40031
Georgia,Coffee County,19905
Georgia,Colquitt County,20529
Georgia,Columbia County,34579
Georgia,Cook County,20128
Georgia,Coweta County,33875
Georgia,Crawford County,23204
Georgia,Crisp County,22933
Georgia,Dade County,24000
Georgia,Dawson County,34239
Georgia,Decatur County,21568
Georgia,DeKalb County,36077
Georgia,Dodge County,20216
Georgia,Dooly County,22716
Georgia,Dougherty County,22059
Georgia,Douglas County,27743
Georgia,Early County,19026
Georgia,Echols County,23885
Georgia,Effingham County,31704
Georgia,Elbert County,22355
Georgia,Emanuel County,19389
Georgia,Evans County,20725
Georgia,Fannin County,27940
Georgia,Fayette County,44061
Georgia,Floyd County,25776
Georgia,Forsyth County,43832
Georgia,Franklin County,23187
Georgia,Fulton County,47163
Georgia,Gilmer County,27282
Georgia,Glascock County,23541
Georgia,Glynn County,33848
Georgia,Gordon County,24092
Georgia,Grady County,22543
Georgia,Greene County,37818
Georgia,Gwinnett County,30636
Georgia,Habersham County,23046
Georgia,Hall County,29680
Georgia,Hancock County,16704
Georgia,Haralson County,25074
Georgia,Harris County,36273
Georgia,Hart County,23181
Georgia,Heard County,22714
Georgia,Henry County,29889
Georgia,Houston County,29462
Georgia,Irwin County,19878
Georgia,Jackson County,28915
Georgia,Jasper County,22814
Georgia,Jeff Davis County,17833
Georgia,Jefferson County,19259
Georgia,Jenkins County,15531
Georgia,Johnson County,21087
Georgia,Jones County,25854
Georgia,Lamar County,22413
Georgia,Lanier County,19207
Georgia,Laurens County,21665
Georgia,Lee County,29348
Georgia,Liberty County,22811
Georgia,Lincoln County,26918
Georgia,Long County,22639
Georgia,Lowndes County,23348
Georgia,Lumpkin County,27155
Georgia,McDuffie County,21625
Georgia,McIntosh County,26892
Georgia,Macon County,17883
Georgia,Madison County,24511
Georgia,Marion County,22541
Georgia,Meriwether County,21038
Georgia,Miller County,23870
Georgia,Mitchell County,18619
Georgia,Monroe County,33290
Georgia,Montgomery County,22477
Georgia,Morgan County,33571
Georgia,Murray County,21989
Georgia,Muscogee County,26097
Georgia,Newton County,25247
Georgia,Oconee County,44336
Georgia,Oglethorpe County,23523
Georgia,Paulding County,27979
Georgia,Peach County,24486
Georgia,Pickens County,31965
Georgia,Pierce County,22268
Georgia,Pike County,27639
Georgia,Polk County,23857
Georgia,Pulaski County,20746
Georgia,Putnam County,31504
Georgia,Quitman County,18639
Georgia,Rabun County,28266
Georgia,Randolph County,16691
Georgia,Richmond County,22787
